page,table_id,col_1,col_2,col_3
22,6,,,
22,6,,,
22,6,,,
22,7,,,
22,7,,,
22,8,,,
22,8,,,
22,8,,,
22,9,,,
22,9,,,
22,10,,,
22,10,,,
22,11,,,
22,11,,,
22,12,,,
23,1,"Avant
appariement",,
23,1,,Proche voisin,
23,1,"0,273","6,2",
23,1,"28,4","0,023",
23,1,"57,49(0.000)","2,67 (0,997)",
23,2,,NN (5),
23,2,"qtcoton
Non apparié
6299,2173
4033,9172
2265,3001
844,54030
2,68***","qtcoton
ATT
6684,8571
4160,5904
2524,2666
1431,0581
1,76**",
25,1,Village,"Nombre
d’exploitations","Nombre de
répondants"
25,1,Tiéma,13,12
25,1,Tchatchatcha,29,16
25,1,Togbasso,18,18
25,1,Soundougouba,23,14
25,1,Heremankono,12,12
25,1,Nambidougou,14,8
25,1,"Ensemble
Mankono",109,80
25,1,Sangadjokaha,50,30
25,1,Zanakaha,28,28
25,1,Kationron,13,13
25,1,"Ensemble
Tortiya",91,71
25,1,Gouhofla,6,6
25,1,"Gouhofla-
Campement",42,42
25,1,Bougoussangasso,17,17
25,1,Saria,13,7
25,1,Krigambo,41,32
25,1,"Ensemble
Bouaflé",119,104
25,1,,319,255
26,1,Ensemble n=255,,,,,,
26,1,Moyenne,Écart type,"Ensemble n=191
Moyenne Écart type",,"CIDT n=145
Moyenne Écart type",,
26,1,"0,7882
5,2676
0,2588
9,5176
0,2510
0,0745
0,2235
0,2157
0,1608
0,2157
0,1843
0,2784
0,4078
0,3137
0,5294","0,4094
4,9146
0,4388
4,8771
0,4344
0,2631
0,4174
0,4121
0,3681
0,4121
0,3885
0,4491
0,4924
0,4649
0,5001","7,9855
4579,4870
0,7592
6,3429
0,1466
9,9738
0,2251
0,0157
0,0785
0,2199
0,1937
0,2880
0,2199
0,3351
0,2827
0,3822
0,5079","1,0143
5071,4650
0,4287
4,8290
0,3546
4,8844
0,4188
0,1247
0,2697
0,4153
0,3962
0,4540
0,4153
0,4733
0,4515
0,4872
0,5013","7,8752
4033,9170
6,3138
0,1862
9,8138
0,2483
0,0207
0,0828
0,2483
0,1862
0,2690
0,2138
0,2207
0,3310
0,4483
0,5241","1,0341
3432,5490
5,0811
0,3906
4,7155
0,4335
0,1428
0,2765
0,4335
0,3906
0,4450
0,4114
0,4161
0,4722
0,4990
0,5011","8,3332
6299,2170
6,4348
0,0217
10,4783
0,1522
0,0000
0,0652
0,1304
0,2174
0,3478
0,2391
0,6957
0,1304
0,1739
0,4565"
27,1,Observations,Moyenne,Écart type
27,1,"255
255
255
255
255
255
255
2,48047
0,3544","0,0431373
0,1607843
0,5490196
0,745098
0,1529412
0,5647059
0,7529412","0,2035656
0,3680543
0,4985698
0,4366631
0,3606386
0,4967705
0,4321494"
28,1,,,
28,1,,,
28,1,,,
28,1,,,
