page,table_id,col_1,col_2,col_3,col_4,col_5,col_6,col_7
8,1,Taille du marché et de niveau de vie,,,Infrastructures,,,
8,1,Population a,"PIB b (US $
billions)","PIB par
tête c","Routes
revêtues d","Lignes
téléphoniques","Utilisateurs
d’internet e","Taux
d’alphabétisation"
40,1,"Index du Taux de change réel pondéré
par les échanges extérieurs",1980-2005,,,,,
40,1,"Balance du compte courant rapportée
au PIB",1980-2007,,,,,
40,1,Dette totale rapportée au PIB,1980-2005,,,,,
40,1,Termes de l’échange,1980-2007,,,,,
40,1,"Part de l’agriculture dans la VA au
PIB (en %)",1980-2007,,,,,
42,1,1er produit,2e produit,,,,,
42,1,"Coton (29,8 %)","Hydrocarbures
bitumineux (20,8 %)",,,,,
42,1,"Coton (71,6 %)","Graines de sésame
(4,3 %)",,,,,
42,1,"Poisson et pro-
duits de la
pêche (25,4 %)","Coton (12,9 %)",,,,,
42,1,"Cacao (29,4 %)","Hydrocarbures
et hydrocarbures
bitumineux (17,0 %)",,,,,
42,1,"Noix de cajou
(36,0 %)","Titane (8,5 %)",,,,,
42,1,"Cacao (45,6 %)","Manganèse (8,4 %)",,,,,
42,1,"Aluminium
(52,4 %)","Oxyde d’aluminium
(15,3 %)",,,,,
42,1,"Noix de cajou
(91,3 %)",,,,,,
42,1,"Tankers
(46,1 %)","Autres moyens
maritime de transport
(21,9 %)",,,,,
42,1,"Coton (70,8 %)","Fruits exotiques (4,4 %)",,,,,
42,1,"Uranium
(83,7 %)","Produits de peinture
(2,2 %)",,,,,
42,1,"Hydrocarbures
(87,5 %)","Gaz naturel liquéfié
GNL (6,6 %)",,,,,
42,1,"Hydrocarbures
(14,3 %)","Phosphore et dérivés
phosphoriques (9,5 %)",,,,,
42,1,"Diamant
(31,1 %)","Aluminium (11,7 %)",,,,,
42,1,"Cacao (25,3 %)","Hydrocarbures
bitumineux (13,0 %)",,,,,
43,1,Critères de 1er rang,UEMOA c,ZMOA,,,,
43,1,Taux d’inflation,"Maximum 3 %
en moyenne","5 % au
maximum",,,,
43,1,Solde budgétaire a,Minimum 0 %,Minimum -4 %,,,,
43,1,"Ratio de l’encours de la dette intérieure
et extérieure rapporté au PIB nominal",Inférieur à 70 %,-,,,,
43,1,"Arriérés de paiement intérieurs et
extérieurs","Non-accumulation
d’arriérés sur la
gestion de la
période courante",-,,,,
43,1,"Réserves de change en mois
d’exportation",,"Minimum
3 mois",,,,
43,1,"Financement du déficit budgétaire par
la banque centrale (en % des recettes
fiscales) b",,"Maximum
10 %",,,,
43,1,Critères de 2e rang,UEMOA,ZMOA,,,,
43,1,"Ratio de la masse salariale sur les recet-
tes fiscales",Maximum 35 %,,,,,
43,1,"Ratio des investissements publics finan-
cés sur ressources internes rapportés
aux recettes fiscales",Minimum 20 %,,,,,
43,1,"Ratio du solde extérieur courant hors
transferts publics par rapport au PIB
nominal",Minimum -5 %,,,,,
43,1,Taux de pression fiscale,Minimum 17 %,,,,,
43,1,Recettes fiscales en % du PIB,,Min 20 %,,,,
43,1,"Investissement public en % des dépen-
ses publiques",,Min 20 %,,,,
43,1,"Salaires publics en % des dépenses
publiques",,"Maximum
35 %",,,,
43,1,Taux d’intérêt réel des bons du trésor (en %),,Minimum 0 %,,,,
43,1,Variation du taux de change effectif réel,,"Il faut qu’il soit
stable",,,,
45,1,,,,,,,
45,1,"80
9 70
60
50
14
40
10
1
30
720
10
3",80,,"8
11 15
6
5 2
4 12
13",,,
45,1,,,,,,,
45,1,,,0,,,,
