page,table_id,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9
9,1,"Palais des
congrès de
Hull",36,4 ou 5,105,"Jean-
François
Richard","Dale
Jorgenson","Jean-Marie
Dufour",U. de Mtl,"Georges
Dionne"
9,1,"Hôtel du
Parc,
Montréal",28,4,88,"Élizabeth
Sadoulet","Daniel
Cohen","André
Martens",U. de Mtl,
9,1,"Hôtel
Hilton,
Québec",29,4,79,"Louis
Eeckoudt","Étienne
Wasmer","Marc
Van Audenrode",U. Laval,
9,1,Aylmer,24,4,68,"Jean-Pascal
Bénassy","Philippe
Aghion",Louis Phaneuf,UQAM,
9,1,"Hôtel Delta,
Montréal",26,4,83,"Christian
Gouriéroux","Ricardo
Hausmann",Robert Gagné,HEC,
9,1,"Hôtel
Loews,
Québec",26,4 ou 5,77,"Pierre-
André
Chiappori","Jean-Louis
Cotis","John
Galbraith",U. McGill,"Ruth
Dupré"
9,1,"Manoir
Richelieu,
Charlevoix",32,4 ou 5,104,"Marcel
Fafchamps","André
Plourde","Jean-Yves
Duclos",U. Laval,
10,1,,"Nombre
de
séances","Nombre de
séances
simultanées","Nombre
de
commu-
nications","Grande
conférence
SCSE/
Angers","Conférences
ADSEQ-
SCSE","Président
SCSE",Affiliation,"Sec. trés.
SCSE"
10,1,"Hôtel
Bonaventure,
Montréal",32,5,94,"Gérard
Roland",,"Nicolas
Marceau",UQAM,
10,1,"Hôtel
Loews,
Québec",35,5,104,"Thomas
Lemieux","Scott
Taylor",Guy Lacroix,U. Laval,"André
Lemelin"
10,1,"Château
Montebello",31,5,104,"Jean-Marc
Robin",,"Emmanuela
Cardia",U. de Mtl,
10,1,"Hôtel
Mont-
Gabriel",23,4,83,"Roland
Bénabou",,Claude Fluet,UQAM,
10,1,,772,,2288,,,,,
11,1,,,,,,,,,
11,1,,,,,,,,,
11,1,,,,,,,,,
11,1,,,,,,,,,
11,1,,,,,,,,,
11,1,,,,,,,,,
11,2,,,,,,,,,,,
11,2,,,,,,,,,,,
11,2,,,,,,,,,,,
11,2,,,,,,,,,,,
11,2,,,,,,,,,,,
11,2,,,,,,,,,,,
11,2,,,,,,,,,,,
11,2,,,,,,,,,,,
11,2,,,,,,,,,,,
11,2,,,,,,,,,,,
11,2,,,,,,,,,,,
11,2,,,,,,,,,,,
11,2,,,,,,,,,,,
11,2,,,,,,,,,,,
12,1,"Pierre Harvey
Marcel Daneau
Bernard Bonin
Robert Lacroix
Louise Séguin-Dulude
Pierre Fortin
John Galbraith
Jean-Yves Duclos","HEC
U. Laval
ENAP
U. de Montréal
HEC
UQAM
U. McGill
U. Laval",,,,,,,
20,1,,,,,,,,,
20,1,,,,,,,,,
20,1,,,,,,,,,
20,1,,,,,,,,,
20,1,,,,,,,,,
20,1,,,,,,,,,
37,1,"Nombre de
communications",,,,,,,,
37,1,"47
38
27
26
26
25
24
20
19
17
17
17
16
16
16
16
15
15
15
15",,,,,,,,
38,1,,,,,,,,,
38,1,,,,,,,,,
38,1,,,,,,,,,
38,1,,,,,,,,,
38,1,,,,,,,,,
38,1,,,,,,,,,
38,1,,,,,,,,,
39,1,Présidences SCSE,,"Secrétaires-
trésoriers",,Communications,,,,
39,1,(en années),%,(en années),%,(en nombre),%,(en nombre),,
39,1,14,29,7,14,382,"16,7",124,,
39,1,15,31,,,347,"15,2",148,,
39,1,6,12,,,252,11,105,,
39,1,8,16,24,48,182,8,98,,
39,1,0,0,,,94,"4,1",41,,
39,1,2,4,,,62,"2,7",35,,
39,1,1,2,,,96,"4,2",66,,
39,1,0,0,,,20,"0,9",10,,
39,1,0,0,3,6,43,2,15,,
39,1,2,4,,,75,"3,3",13,,
40,1,Présidences SCSE,,"Secrétaires-
trésoriers",,Communications,,,,
40,1,(en années),%,(en années),%,(en nombre),%,(en nombre),,
40,1,,,,,360,"15,8",,,
40,1,1,2,,,"86
277
[105]
7","3,8
12
[4,6]",35,,
40,1,,,16,32,,,,,
40,1,49,,50,,2283,,772,,
43,1,"60
19
12
11
7
1
10",,,,,,,,
43,1,"52
37
15",,,,,,,,
43,1,"7
3
4",,,,,,,,
43,1,"72
59
13",,,,,,,,
43,1,191,,,,,,,,
44,1,"Université
de Montréal","Université
Laval",UQAM,HEC,"Université
d’Ottawa","Université
Sherbrooke","Université
McGill","Réseau
Université
du Québec",
44,1,"1,5
1,3
1
2
3
1
3
3
3
3
4
5,5
3
2
2,5","2
2,5
5
2
1
3
2,3
1
1
1
3,5
1
2,5","6,5
2
2","2
1
1
1
1
1,3
1","1
1
1
1","1
1
4
2
4","1
3
1
1
3",3,
45,1,"Université
de Montréal","Université
Laval",UQAM,HEC,"Université
d’Ottawa","Université
Sherbrooke","Université
McGill","Réseau
Université
du Québec",
45,1,"4,5
17
9
8
13,2
8
8,5
4,3
11,7
10,2
12,2
13,0
8,2
10,3
14,7
7","1
5
11
10
6
4
13,5
10,5
11,2
4,3
6,2
6,5
4,5
8,7
5,7
13,3","4
2
4,5
5
8,5
4
9,3
4,5
6,5
6,8
10,3
6,5
10,3
6,5
7,7
13,8","2
4
2,5
3
2,3
2
6,5
2,5
3
3
1,5
3,5
4
5,2
5,0","0,5
2
2,5
1,3
3
2
0,7
0,5
0,5
5,5
8
4,5
6
2,3
4,0","2
1
2
2
1
1
2,3
1,3
0,3
1,3
2,5
2,5
1,5
1,5","1
1
4
2
3,5
1","3,5
1,5
4
3,2
4,5
2
4
2
1
2,5",
46,1,"Université
de Montréal","Université
Laval",UQAM,HEC,"Université
d’Ottawa","Université
Sherbrooke","Université
McGill","Réseau
Université
du Québec",
46,1,"14,8","10,2","4,8","4,5","7,7",1,3,1,
46,1,"11,8
11,8
22,2
7,7
13,8
12,7
6,3
6,7
9,2
4,5
14,0
15
8
14
11,3","17,2
15,5
16,7
18,5
14,8
10
11
4,8
4,7
12,8
14,2
5
17
12
13,3","8,0
5,7
8,8
9,3
11,5
7,3
1,5
11,5
6,5
6,5
6,0
15
11
9
8,8","3,2
4,3
6,3
6,8
4,3
7,3
6,5
5,8
8,8
10,2
12,3
12
10
11
10","2,0
3,0
1,0
1,8
4,5
1,5
1
4
3,3
1
1
3
12
1,3","2
4,7
0,3
1,5
2,5
4,5
1,3
3,8
3,8
6
10
8
10","3,5
5,2
4
2
5,3
2
0,3
1,3
2,8
3,8
5,2
1
1","1
2
0,5
1
3
3",
46,1,382,347,252,182,96,94,62,43,
47,1,"Autres
universités
canadiennes","Banque
du
Canada","Statistique
Canada","Autres
Reste du
Canada","Autres
Québec","Total
Hors
Canada","Total
Reste du
Canada","Total
Québec",
47,1,"0,3
1
3,3
1
1
1
1
5","1
1","0,3","2
1
2
2
1,5
2
2","0,5
4
3
3,5
1
7
2
0,5
2
1
1
3
4
1","1
5,5
4
1
1,5
0,5
3","3
0,7
2,0
0,0
0,0
2,0
2,0
0,0
0,0
4,3
0,0
1,0
2,0
2,5
1,0
5,0
7,0","4
5,3
6
9
7
11
10
6
3,5
6,7
6
5
9
16
15,5
13
12",
48,1,"Autres
universités
canadiennes","Banque
du
Canada","Statistique
Canada","Autres
Reste du
Canada","Autres
Québec","Total
Hors
Canada","Total
Reste du
Canada","Total
Québec",
48,1,"2
1
2
1
2,5
1
1
1
2
2
1
3,3
4","3
4
3
1
1
1
2
3","1
8
2
1
1
3
1,3
1
0,5
1,5
3,3","3
5
9
8
2
4
5
2,8
8,5
6
3,5
4,5
2,2","1
2
2
3
6,7
4
2
1,5
2
2
0,5","1
1
3
1
0,5
1
0,5
0,8
2,8
3,0
1,5
4,5
1,5
1,5
2,5
7,0","0,5
11
20,5
11,0
13,3
7,0
10,0
5,5
6,5
5,3
17,0
17,5
10,0
13,0
9,8
15,3","14,5
31
34,5
33
39,2
25
39,5
31,7
37,7
26,7
38,5
36,0
34,5
37,5
35,7
43,6",
49,1,"Autres
universités
canadiennes","Banque
du
Canada","Statistique
Canada","Autres
Reste du
Canada","Autres
Québec","Total
Hors
Canada","Total
Reste du
Canada","Total
Québec",
49,1,"3
1
0,8
1
3,5
4,3
1
1,5
0,5
4,5
2,2
2,7
3
3
3
2","1
1
2
5
3
7,3
3,8
4
5
9
9,2
8,8
3
12
7
3,7","4
1
1
3
1
2
3
0,5
1,2
1
1
1","5,5
1,5
0,5
2,5
6,5
6,7
7,5
4,5
2,5
3
5,3
0,3
1
5
2","1
4,2
1
0,5
2
4,5
7,5
0,5
1
2
0,7
1","5,5
2,8
2,0
15,8
21,5
26,8
28,5
31,5
18,3
25,8
16,2
31,8
30,0
19,0
21,0
20,5","20,2
6,5
7,3
12,5
15,8
22,8
13,8
11,0
14,0
22,8
17,2
14,0
9,0
23,0
25,0
8,0","42,3
46,7
46,7
63,7
45,7
55,3
45,7
36,5
35,7
34,3
43,7
58,2
55
62
58
54,5",
49,1,74,105,44,130,86,367,448,1467,
