page,table_id,col_1
8,3,"²mk
552
21
:
3 noitnevretni’d
:
)4891( séiralas
ENRAM ed
eriotirreT
erbmoN"
9,1,"setrof
etniaS
sed
lieugnoL tnemessitnelar ysiorP
,esiO’l
à
ed esiO’l
etolip
snad
ed ed
tejorp eiraM tejorp seurc
- -"
9,1,"snoitadnoni
sel
ertnoc
noitcetorp"
9,1,",euqimanyd
)seuqigolocé
noitaruatser(
,euqsir etêuqnocer ,uae’d tnod
tnemessitnelar( ud sruoc seuqiluardyh
stnemeganéma
eriomém ,)…erèivir seuqitauqa
sed
euqigolocé-ordyh
te snoitcennocer
noitadnoni noitnevérp ed xueilim
neitertne ,serèyarf
sed"
9,1,",snoitadnoni
tnemennorivne’l
sel
ertnoc
ed
noitavresérp
noitcetorp"
9,1,"²mk
268
61
)8691( 11 : noitnevretni’d
:
séiralas
ENSIA
ed
eriotirreT
erbmoN
ESIO"
9,2,"ed
tartnoc
xua
sruoc
étilibarénluv
te
enôaS ne
erèivir
snoitseg ,elbadnoni
al
ed ,snoitadnoni ed
noitcudér startnoc
sed
eéllav
nalp
9
- - -"
9,2,
9,2,"stnemeganéma
ARUTAN(
ettul
ellennoisseforp
,serèivir
étisrevidoib
,snoitadnoni
ed
.seuqitauqa
startnoc noitamrof
te
te sel selocicsip
EGAS ertnoc ,)0002 xueilim"
9,2,"eérgétni
snoitadnoni
noitseg
te
tnemeganéma sel
ertnoc
ettul
- -"
9,2,"²mk
000
)1991(
03
24 : noitnevretni’d
SBUOD
:
séiralas
ENOAS ed
eriotirreT
erbmoN"
9,3,"esiatnaN
neitertne
ervèS
al noitaruatser
ed
sterces
IPAP
001 ,EGAS tartnoc
sel
- - -"
9,3,"seuqitauqa
xueilim"
9,3,",snoitadnoni
EGAS
,euqitsiruot
,seuqitauqa
noitasirolav
xueilim"
9,3,"serèivir
sed
noitasirolav"
9,3,"²mk
)5891(
453
2
ESIATNAN
41 : noitnevretni’d
:
séiralas
ed
ERVES eriotirreT
erbmoN"
10,1,"sel
ertnoc
ettul(
lanoitan erialocs SCP
,seurc
noitasilibisnes setrev
etolip )snoitadnoni
ed
serèper sepiuqé
tejorp
- - - -"
10,1,"snoitadnoni
erèivir
sed
0002
noitnevérp ed
startnoc
arutaN
- - -"
10,1,"al
ertnoc
snoitadnoni
ettul
€
,segreb snoillim
te
seurc
sed
21
neitertne ,noitullop :
tegdub"
10,1,"seurc
sel
ertnoc
noitcetorp"
10,1,"²mk
058
)9891( 02 : noitnevretni’d
:
séiralas
ELRUODIV
ed
eriotirreT
erbmoN"
