13,1,,"imm. nés en asie et diplômés
d’un autre pays","2,90*","3,39*","2,13*","2,77*","1,82*"
13,1,,"imm. nés ailleurs (afr., am. lat.,
océanie) et diplômés d’un pays
développé","1,20","1,35","1,15","1,19","1,04"
13,1,,"imm. nés ailleurs (afr., am. lat.,
océanie) et diplômés d’un autre pays","2,26*","2,52*","1,90*","2,18*","1,69*"
13,1,Variables de contrôle,,,,,,
13,1,Sexe,hommes (Cat. réf.),,,,,
13,1,,Femmes,,"1,42*","1,43*","1,41*","1,42*"
13,1,Groupe d’âge,25-34 ans (Cat. réf.),,,,,
13,1,,35-44 ans,,"0,74*","0,74*","0,74*","0,74*"
13,1,,45-54 ans,,"0,77*","0,77*","0,73*","0,74*"
13,1,,55-64 ans,,"0,78*","0,79*","0,72*","0,73*"
14,1,Variables,,Population totale,,,,
14,1,,,Modèle 0,Modèle 1,Modèle 2,Modèle 3,Modèle 4
14,1,,,Rapports de cotes,,,,
14,1,"Lieu
de résidence",toronto (Cat. réf.),,,,,
14,1,,montréal,,"1,30*","1,31*","1,27*","1,28*"
14,1,,vancouver,,"1,61*","1,57*","1,65*","1,61*"
14,1,,autres rmr/ar,,"1,24*","1,26*","1,25*","1,27*"
14,1,,ailleurs au Canada,,"1,52*","1,56*","1,49*","1,52*"
14,1,,inconnu,,"1,30","1,33","1,27","1,29"
14,1,"Domaine
d’études",Domaines les moins à risque de surqualification (Cat. réf.),,,,,
14,1,,Domaines les plus à risque de surqualification,,"1,39*","1,41*","1,45*","1,46*"
14,1,,"autres (études générales, Services, inconnu)",,"0,83*","0,84*","0,74*","0,74*"
14,1,Variables reliées au capital humain,,,,,,
14,1,"Connaissance
et usage
des langues
officielles",Langue maternelle (Lm) officielle (Cat. réf.),,,,,
14,1,,Lm non off./Langue d’usage officielle,,,"1,10",,"1,08"
14,1,,Lm non off./Langue d’usage non off.,,,"1,78*",,"1,69*"
14,1,"Niveau
de littératie",équivalent ou supérieur au niveau 3 (Cat. réf.),,,,,
14,1,,inférieur au niveau 3,,,,"1,70*","1,68*"
14,1,ordonnée à l’origine,,"0,32*","0,24*","0,23*","0,35*","0,34*"
14,1,taille de l’échantillon,,13 624,13 624,13 624,13 624,13 624
14,1,pseudo r²,,"0,033","0,050","0,053","0,060","0,062"
