page,table_id,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9
22,8,"1986
1,00
0,80
0,60
0,40
0,20
0,00
20 30 40 49
Âge","1996
1,00
0,80
0,60
0,40
0,20
0,00
20 30 40 49
Âge","2006
1,00
0,80
0,60
0,40
0,20
0,00
20 30 40 49
Âge","2011
1,00
0,80
0,60
0,40
0,20
0,00
20 30 40 49
Âge",,,,,
22,9,,,,,,,,,
22,10,,,,,,,,,
22,11,,,,,,,,,
22,12,,,,,,,,,
23,1,,,,,,,,,
23,1,"1986 1996 2006 2011 cebéuQ
1,00 1,00 1,00 1,00
0,80 0,80 0,80 0,80
ud
0,60 0,60 0,60 0,60
senohpocnarF
0,40 0,40 0,40 0,40
0,20 0,20 0,20 0,20
0,00 0,00 0,00 0,00
20 30 40 49 20 30 40 49 20 30 40 49 20 30 40 49
Âge Âge Âge Âge
1986 1996 2006 2011 oiratnO’l
1,00 1,00 1,00 1,00
0,80 0,80 0,80 0,80
0,60 0,60 0,60 0,60 ed
senohpolgnA
0,40 0,40 0,40 0,40
0,20 0,20 0,20 0,20
0,00 0,00 0,00 0,00
20 30 40 49 20 30 40 49 20 30 40 49 20 30 40 49
Âge Âge Âge Âge
Femme 1, Homme 3 Femme 1, Homme 4 Femme 2, Homme 4
Femme 3, Homme 1 Femme 4, Homme 1 Femme 4, Homme 2",,,,,,,,
23,2,,,,,,,,,
23,2,"1986 1996 2006 2011 cebéuQ
1,00 1,00 1,00 1,00
0,80 0,80 0,80 0,80
ud
0,60 0,60 0,60 0,60
senohpocnarF
0,40 0,40 0,40 0,40
0,20 0,20 0,20 0,20
0,00 0,00 0,00 0,00
20 30 40 49 20 30 40 49 20 30 40 49 20 30 40 49
Âge Âge Âge Âge",,,,,,,,
23,2,"1986 1996 2006 2011 oiratnO’l
1,00 1,00 1,00 1,00
0,80 0,80 0,80 0,80
0,60 0,60 0,60 0,60 ed
senohpolgnA
0,40 0,40 0,40 0,40
0,20 0,20 0,20 0,20
0,00 0,00 0,00 0,00
20 30 40 49 20 30 40 49 20 30 40 49 20 30 40 49
Âge Âge Âge Âge",,,,,,,,
