page,table_id,col_1,col_2,col_3,col_4,col_5,col_6,col_7
21,1,Mixte,113,110,132,136,124,129
21,1,Mobile,117,110,110,113,112,113
21,1,Total,"100
(n=30)","100
(n=29)","100
(n=25)","100
(n=39)",100,123
21,1,1856b,,,,,,
21,1,Sédentaire,184,171,144,153,161,168
21,1,Mixte,112,124,137,142,131,134
21,1,Mobile,114,115,119,115,118,119
21,1,Total,"100
(n=25)","100
(n=21)","100
(n=25)","100
(n=38)",100,111
21,1,1876c,,,,,,
21,1,Sédentaire,186,172,153,131,162,176
21,1,Mixte,119,124,142,164,133,141
21,1,Mobile,115,114,115,116,115,116
21,1,Total,"100
(n=43)","100
(n=25)","100
(n=19)","100
(n=36)",100,123
24,1,"Âge du parent
au moment
du décès","Sédentaires
(même commune)","Mobilité de
courte distance","Mobilité de
longue distance",Total,,
24,1,1836,,,,,,
24,1,Moins de 50 ans,97,12,11,100 (n=77),,
24,1,50 ans et plus,86,11,13,100 (n=398),,
24,1,1856,,,,,,
24,1,Moins de 50 ans,86,11,13,100 (n=158),,
24,1,50 ans et plus,76,10,14,100 (n=241),,
24,1,1876,,,,,,
24,1,Moins de 50 ans,98,12,10,100 (n=41),,
24,1,50 ans et plus,69,18,13,100 (n=198),,
24,2,Mobilité,Valeur (en francs) de la succession,,Effectif,,,
24,2,,moyenne,médiane,,,,
24,2,1836,,,,,,
24,2,Sédentaires (même commune),2331,1050,436,,,
24,2,Mobilité de courte distance,3742,1575,148,,,
24,2,Mobilité de longue distance,3821,1700,125,,,
24,2,1856,,,,,,
24,2,Sédentaires (même commune),2652,1046,380,,,
24,2,Mobilité de courte distance,2940,1676,156,,,
24,2,Mobilité de longue distance,6914,1215,152,,,
24,2,1876,,,,,,
24,2,Sédentaires (même commune),6432,1799,305,,,
24,2,Mobilité de courte distance,4072,2361,157,,,
24,2,Mobilité de longue distance,7759,1978,150,,,
