page,table_id,col_1,col_2,col_3,col_4,col_5,col_6
27,1,"asie centrale et de l’ouest, moyen-o rient","6,9*","5,8*","3,1","6,4",
27,1,asie de l’est,"20,7*","8,1*","15,2","18,9",
27,1,asie du sud-e st,"18,3*","28,0*","17,8","19,1",
27,1,asie du sud,"14,0*","24,6*","15,1","15,1",
27,1,océanie et autre,"0,5*","0,5*","3,0","0,8",
27,1,Lieu de résidencec,,,,,
27,1,toronto (ontario),"38,0*","25,4*","26,7","35,6",
27,1,montréal (Québec),"12,5*","12,4*","13,0","12,5",
27,1,vancouver (colombie- Britannique),"14,9*","11,3*","14,5","14,6",
27,1,ottawa- gatineau (ontario- Québec),"3,4*","1,9*","2,5","3,1",
27,1,calgary (alberta),"6,3*","9,2*","7,5","6,7",
27,1,edmonton (alberta),"4,5*","8,4*","7,4","5,2",
27,1,autres régions métropolitaines,"20,4*","31,5*","28,4","22,3",
27,1,Lieu de résidence en 2015,,,,,
27,1,"au canada, même lieu","95,3*","77,7","77,7","91,8",
27,1,"au canada, autre lieu","4,0*","6,6","6,6","4,6",
27,1,À l’étranger,"0,7*","15,7","15,7","3,7",
27,1,Lieu de résidence en 2011,,,,,
27,1,"au canada, même lieu","81,5*","0,0*","25,4","67,9",
27,1,"au canada, autre lieu","15,0*","0,0*","7,6","12,8",
27,1,À l’étranger,"3,6*","100,0*","67,0","19,3",
28,1,,Immigrants,,"Travailleurs
temporaires†",Total,
28,1,,"Établis
(≥ 5ans)","Récents
(< 5ans)",,,
28,1,Citoyenneté canadienne,,,,,
28,1,oui,"79,2","0,0","0,0","63,1",
28,1,non,"20,8","100,0","100,0","36,9",
28,1,Sexe,,,,,
28,1,Femmes,"48,7*","41,9*","44,1","47,5",
28,1,hommes,"51,3*","58,1*","55,9","52,5",
28,1,Âge,,,,,
28,1,15-24 ans,"3,3*","5,6*","10,3","4,3",
28,1,25-34 ans,"19,8*","40,1*","51,0","25,0",
28,1,35-44 ans,"28,3*","38,2*","24,4","28,8",
28,1,45-64 ans,"46,4*","16,0*","13,8","40,1",
28,1,65 ans et plus,"2,2*","0,1*","0,5","1,9",
28,1,État matrimonial,,,,,
28,1,jamais marié,"18,0*","18,8*","35,1","19,9",
28,1,marié – union libre,"74,4*","78,2*","59,9","73,2",
28,1,séparé – divorcé,"6,6*","2,7*","4,6","6,0",
28,1,veuf,"0,9*","0,2*","0,5","0,8",
28,1,Niveau d’études,,,,,
28,1,moins que des,"3,7*","2,4*","5,7","3,8",
28,1,des ou équivalent,"13,2*","12,9*","15,7","13,4",
28,1,postsecondaire non universitaire,"20,9*","15,9*","19,6","20,3",
28,1,universitaire,"62,2*","68,8*","59,1","62,5",
28,1,Connaissance des langues officielles,,,,,
28,1,anglais seulement,"80,9","80,6","80,9","80,9",
28,1,Français seulement,"3,7*","4,9*","3,3","3,8",
28,1,anglais et français,"13,6*","11,9*","12,4","13,4",
28,1,ni anglais ni français,"1,8*","2,5*","3,3","2,0",
28,1,N,303 045,35 040,38 965,377 050,
