page,table_id,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17
19,1,"Oui
Non","806
732","1 123*
835",,,,,,,,,,,,,,
19,1,Aide du réseau formel,,,,,,,,,,,,,,,,
19,1,"Oui
Non","862
770","1 068**
1 001",,,,,,,,,,,,,,
21,1,Variables,Rapport à l’unité,,,,,,,,,,,,,,,
21,1,Variables mesurant l’état de santé,Consultation PS,"Produits
pharmaceutiques",,,,,,,,,,,,,,
21,1,Nombre d’incapacités (réf : 1 incapacité),,,,,,,,,,,,,,,,
21,1,"2 incapacités
3 incapacités ou plus","2,08***
2,30***","2,10**
2,89***",,,,,,,,,,,,,,
21,1,Variables mesurant la prédisposition face à l’utilisation des soins de santé,,,,,,,,,,,,,,,,
21,1,Sexe (réf : homme),,,,,,,,,,,,,,,,
21,1,femme,"0,85","1,05",,,,,,,,,,,,,,
21,1,Âge (réf : 65 à 69 ans),,,,,,,,,,,,,,,,
21,1,"70 à 74 ans
75 à 79 ans
80 ans et plus","1,09
1,17
0,70","1,60
1,84
1,02",,,,,,,,,,,,,,
21,1,Scolarité (réf : moins de 9 ans d’études),,,,,,,,,,,,,,,,
21,1,"9 à 13 ans d’études
13 ans ou plus d’études","1,41*
0,70","1,02
0,39**",,,,,,,,,,,,,,
21,1,Variables mesurant la capacité d’utilisation des soins de santé,,,,,,,,,,,,,,,,
21,1,"Souffre d’une incapacité liée à la mobilité (réf : ne
souffre pas d’une incapacité liée à la mobilité)","0,86","1,43",,,,,,,,,,,,,,
21,1,"Habite dans une région éloignée (réf : n’habite pas
dans une région éloignée)","0,71*","1,25",,,,,,,,,,,,,,
21,1,"Reçoit de l’aide informelle (réf : ne reçoit pas d’aide
informelle)","1,01","1,05",,,,,,,,,,,,,,
21,1,"Reçoit de l’aide formelle (réf : ne reçoit pas d’aide
formelle)","0,80","1,63",,,,,,,,,,,,,,
21,1,Autre variable,,,,,,,,,,,,,,,,
21,1,"Observations incluant au moins une NR ou NSP (réf :
total des observations avec réponse oui/non)","1,82","1,84",,,,,,,,,,,,,,
21,1,r2,"0,092","0,118",,,,,,,,,,,,,,
22,1,Variables,Rapport à l’unité,,,,,,,,,,,,,,,
22,1,Variables mesurant l’état de santé,Consultation PS,"Produits
pharmaceutiques",,,,,,,,,,,,,,
22,1,Type d’incapacité (réf : absence d’incapacité du type considéré),,,,,,,,,,,,,,,,
22,1,"incapacité d’audition
incapacité de vision
incapacité de mobilité
incapacité d’agilité
incapacité cognitive
incapacités autres (autre physique, parole)","0,87
1,25
1,15
1,60*
1,52*
1,48","0,96
1,54
1,79*
1,17
2,42***
0,69",,,,,,,,,,,,,,
22,1,Variables mesurant la prédisposition face à l’utilisation des soins de santé,,,,,,,,,,,,,,,,
22,1,Sexe (réf : homme),,,,,,,,,,,,,,,,
22,1,femme,"0,80","1,03",,,,,,,,,,,,,,
22,1,Âge (réf : 65 à 69 ans),,,,,,,,,,,,,,,,
22,1,"70 à 74 ans
75 à 79 ans
80 ans et plus","1,17
1,32
0,76","1,73
1,94
1,10",,,,,,,,,,,,,,
22,1,Scolarité (réf : moins de 9 ans d’études),,,,,,,,,,,,,,,,
22,1,"9 à 13 ans d’études
13 ans ou plus d’études","1,39*
0,70*","0,96
0,39*",,,,,,,,,,,,,,
22,1,Variables mesurant la capacité d’utilisation des soins de santé,,,,,,,,,,,,,,,,
22,1,"Habite dans une région éloignée (réf : n’habite pas
dans une région éloignée)","0,72*","1,22",,,,,,,,,,,,,,
22,1,"Reçoit de l’aide informelle (réf : ne reçoit pas d’aide
informelle)","0,94","1,19",,,,,,,,,,,,,,
22,1,"Reçoit de l’aide formelle (réf : ne reçoit pas d’aide
formelle)","0,77","1,60",,,,,,,,,,,,,,
22,1,Autre variable,,,,,,,,,,,,,,,,
22,1,"Observations incluant au moins une NR ou NSP (réf :
total des observations avec réponse oui/non)","1,84","1,49",,,,,,,,,,,,,,
22,1,r2,"0,094","0,129",,,,,,,,,,,,,,
29,1,Type,"Incapacité
simple",,"Présence d’une seule
autre incapacité",,"Présence de 2 autres
incapacités ou plus",,Total,,,,,,,,,
29,1,Audition,63,"(29,9)",35,"(16,5)",114,"(53,8)",212 (100),,,,,,,,,
29,1,Vision,—,—,—,—,—,—,88 (100),,,,,,,,,
29,1,Mobilité,74,"(18,4)",172,"(42,6)",157,"(38,9)",404 (100),,,,,,,,,
29,1,Agilité,32,"(8,9)",167,"(46,8)",158,"(44,3)",356 (100),,,,,,,,,
29,1,Cognition,8,"(6,8)",27,"(23,1)",83,"(69,9)",119 (100),,,,,,,,,
29,1,Autre incapacité,—,—,—,—,—,—,50 (100),,,,,,,,,
