page,table_id,col_1,col_2
6,1,Niveau de compétence,Études/formation caractérisant habituellement les professions
6,1,A – professionnel et gestionnaires,"Une formation universitaire (baccalauréat, maîtrise ou doctorat)"
6,1,B – Technique,Une formation collégiale ou un programme d’apprentissage
6,1,C – Intermédiaire,"Une formation de niveau secondaire ou une formation spécifique à
la profession, ou les deux"
17,1,Afrique,"3,86***","[3,64, 4,09]","3,81***","[3,60, 4,04]"
17,1,"Asie ouest, Centr. et moy.-orient","2,98***","[2,73, 3,26]","2,99***","[2,74, 3,27]"
17,1,Asie,"4,59***","[4,27, 4,94]","4,62***","[4,30, 4,97]"
17,1,états-Unis,"0,77***","[0,71, 0,83]","0,77***","[0,71, 0,83]"
17,1,Domaine d’études [STGM],,,,
17,1,Commerce et administration,"1,68***","[1,64, 1,71]","1,68***","[1,64, 1,71]"
17,1,"Arts, sc. hum. et soc., droit","2,32***","[2,26, 2,38]","2,32***","[2,26, 2,38]"
17,1,Soins de santé,"0,48***","[0,47, 0,50]","0,48***","[0,47, 0,50]"
17,1,éducation et enseignement,"0,64***","[0,62, 0,66]","0,64***","[0,62, 0,66]"
17,1,"métiers, services, res. nat. conserv.","1,93***","[1,86, 2,00]","1,93***","[1,86, 2,00]"
17,1,Interaction Sexe x Ménage,,,,
17,1,homme Enfant vs pas en couple,,,"1,53***","[1,45, 1,62]"
17,1,homme En couple vs pas en couple,,,"0,75***","[0,73, 0,77]"
17,1,Femme Enfant vs pas en couple,,,"1,50***","[1,42, 1,57]"
17,1,Femme En couple vs pas en couple,,,"0,85***","[0,83, 0,87]"
17,1,Interaction Région x Parle anglais,,,,
17,1,montréal Anglais vs Non,,,"0,63***","[0,61, 0,65]"
17,1,Québec Anglais vs Non,,,"0,68***","[0,65, 0,72]"
17,1,Sherb. ou Trois-Riv. Anglais vs Non,,,"0,72***","[0,66, 0,79]"
17,1,Gatineau Anglais vs Non,,,"0,86*","[0,77, 0,97]"
17,1,Autres régions Anglais vs Non,,,"0,82***","[0,79, 0,85]"
17,1,-2 Log Likelihood,"1 328 844,2",,"1 328 844,2",
17,1,Khi-deux -2LL,"120 137,3 (ddl = 27) p < 0,0001",,"120 764,6 (ddl = 33) p < 0,0001",
