page,table_id,col_1,col_2,col_3,col_4,col_5,col_6
11,1,TLEMCEN,"2,25","2,24","0,004",TINDOUF,"3,93","3,79","0,036"
11,1,TIARET,"3,07","2,98","0,029",TISSEMSILT,"3,23","3,03","0,062"
11,1,TIZI OUZOU,"1,99","1,94","0,025",EL OUED,"4,56","4,45","0,024"
11,1,ALGER,"1,87","1,83","0,021",KHENCHELA,"3,18","3,01","0,053"
11,1,DJELFA,"4,49","4,32","0,038",SOUK AHRAS,"2,44","2,36","0,033"
11,1,JIJEL,"3,14","2,85","0,092",TIPAZA,"2,30","2,24","0,026"
11,1,SETIF,"2,80","2,74","0,021",MILA,"3,04","2,89","0,049"
11,1,SAIDA,"2,66","2,59","0,026",AIN DEFLA,"2,86","2,68","0,063"
11,1,SKIKDA,"2,64","2,45","0,072",NAAMA,"2,87","2,82","0,017"
11,1,SIDI BEL ABBES,"2,20","2,15","0,023",AIN TEMOUCHENT,"2,16","2,12","0,019"
11,1,ANNABA,"1,94","1,87","0,036",GHARDAIA,"3,33","3,28","0,015"
11,1,GUELMA,"2,30","2,21","0,039",RELIZANE,"2,66","2,59","0,026"
11,1,,,,,ALGÉRIE,"2,66",—,—
12,1,Wilayates,Estimation indirecte,,"Calcul direct
1987-1998",,
12,1,,"Nombre net de migrants
1998","Nombre net de migrants
2008",,,
12,1,ADRAR,7 333,16 030,−20 898,,
12,1,CHLEF,−29 626,−27 402,−10 806,,
12,1,LAGHOUAT,37 684,47 544,−841,,
12,1,OUM EL BOUAGHI,−5 883,30 227,−5 201,,
12,1,BATNA,−17 124,−39 417,−7 145,,
12,1,BEJAIA,−2 536,−39 171,2 919,,
12,1,BISKRA,20 680,7 408,9 187,,
12,1,BECHAR,−5 029,1 333,−4 937,,
12,1,BLIDA,−67 889,69 995,18 252,,
12,1,BOUIRA,−26 021,−14 187,−10 252,,
12,1,TAMANRASSET,11 222,2 663,3 284,,
12,1,TEBESSA,6 875,174,1 453,,
12,1,TLEMCEN,108 826,−131 428,2 141,,
12,1,TIARET,−131 428,108 826,−4 494,,
12,1,TIZI OUZOU,−6 534,−71 484,4 762,,
12,1,ALGER,393 871,−22 082,24 961,,
12,1,DJELFA,102 949,96 456,11 781,,
12,1,JIJEL,−22 691,426,−19 126,,
12,1,SETIF,426,26 130,1 033,,
12,1,SAIDA,−8 687,966,−1 871,,
12,1,SKIKDA,−9 776,8 819,−903,,
12,1,SIDI BEL ABBES,−9 807,−2 852,4 954,,
13,1,ANNABA,51 322,11 631,5 578,,
13,1,GUELMA,−4 963,−16 447,−260,,
13,1,CONSTANTINE,−10 290,395,2 132,,
13,1,MEDEA,−30 195,−98 230,−59 508,,
13,1,MOSTAGANEM,−8 702,7 473,5 243,,
13,1,M SILA,2 756,−12 310,−4 017,,
13,1,MASCARA,−20 167,−15 058,−3 103,,
13,1,OUARGLA,32 929,−4 107,12 236,,
13,1,ORAN,54 308,27 852,40 959,,
13,1,EL BAYADH,18 523,14 831,3 285,,
13,1,ILLIZI,6 658,6 461,3 553,,
13,1,B. B. ARRERIDJ,−70 002,−38 171,−2 063,,
13,1,BOUMERDES,−113 139,64 035,29 056,,
13,1,EL TARF,9 920,4 973,12 978,,
13,1,TINDOUF,4 592,15 557,1 895,,
13,1,TISSEMSILT,−24 018,−13 647,−11 625,,
13,1,EL OUED,5 537,19 287,−929,,
13,1,KHENCHELA,6 694,−128 84,2 647,,
13,1,SOUK AHRAS,2 526,17 146,−1 934,,
13,1,TIPAZA,−186 356,11 264,15 086,,
13,1,MILA,−3 461,−2 393,3 196,,
13,1,AIN DEFLA,−28 219,−4 081,−11 734,,
13,1,NAAMA,7 765,31 217,2 931,,
13,1,AIN TEMOUCHENT,−2 816,−7 917,6 311,,
13,1,GHARDAIA,9 035,−10 864,382,,
13,1,RELIZANE,−39 502,−17 695,−15 309,,
13,1,Total,17 574,47 292,35 239,,
14,1,Wilayates,"Indice synthétique
de fécondité",,Nombre de mariages,,
14,1,,1995,2006,1991,"1995
(1991 = 100)","2006
(1991 = 100)"
14,1,ADRAR,"4,31","3,68",1 230,"0,996","1,461"
14,1,CHLEF,"4,05","1,89",3 934,"1,019","2,342"
14,1,LAGHOUAT,"4,48","3,31",1 768,"1,002","1,541"
14,1,OUM EL BOUAGHI,"3,93","2,78",2 722,"0,887","2,082"
14,1,BATNA,"4,49","3,57",4 817,"0,957","2,013"
14,1,BEJAIA,"3,34","3,04",4 235,"1,032","1,841"
15,1,BISKRA,"4,84","2,32",2 891,"1,008","1,888"
15,1,BECHAR,"3,90","3,26",1 450,"0,994","1,641"
15,1,BLIDA,"2,39","3,87",5 207,"0,963","1,773"
15,1,BOUIRA,"4,64","3,33",2 693,"1,101","2,313"
15,1,TAMANRASSET,"5,28","3,84",407,"0,823","1,585"
15,1,TEBESSA,"4,58","3,17",2 757,"0,865","1,875"
15,1,TLEMCEN,"3,23","2,93",5 683,"1,057","1,841"
15,1,TIARET,"3,23","2,93",3 649,"1,058","1,995"
15,1,TIZI OUZOU,"2,76","1,95",5 180,"1,063","1,941"
15,1,ALGER,"2,30","3,44",12 215,"1,090","2,470"
15,1,DJELFA,"4,94","3,85",1 629,"0,879","2,231"
15,1,JIJEL,"4,44","3,23",2 779,"0,772","1,599"
15,1,SETIF,"4,18","3,08",6 662,"1,001","2,367"
15,1,SAIDA,"3,48","3,21",1 544,"1,098","2,163"
15,1,SKIKDA,"3,46","2,43",3 860,"0,973","1,826"
15,1,SIDI BEL ABBES,"3,09","3,08",3 202,"1,024","1,838"
15,1,ANNABA,"3,21","3,61",3 341,"0,937","1,734"
15,1,GUELMA,"2,72","3,73",2 386,"1,010","1,843"
15,1,CONSTANTINE,"3,57","3,19",5 087,"0,919","1,711"
15,1,MEDEA,"3,83","2,55",3 904,"0,804","1,793"
15,1,MOSTAGANEM,"3,70","3,14",3 236,"1,104","2,039"
15,1,M SILA,"4,78","3,82",2 845,"1,250","2,457"
15,1,MASCARA,"3,71","3,15",4 202,"1,051","1,873"
15,1,OUARGLA,"5,16","3,92",2 067,"0,925","1,812"
15,1,ORAN,"2,93","2,98",6 349,"1,174","1,929"
15,1,EL BAYADH,"5,86","4,43",1 347,"1,088","1,468"
15,1,ILLIZI,"6,23","2,35",114,"1,088","1,860"
15,1,B. B. ARRERIDJ,"4,06","4,08",2 509,"1,001","2,458"
15,1,BOUMERDES,"3,18","2,30",4 009,"1,036","2,073"
15,1,EL TARF,"2,38","4,48",1 891,"0,931","1,880"
15,1,TINDOUF,"4,92","3,53",81,"1,198","2,938"
15,1,TISSEMSILT,"4,42","3,11",1 456,"0,835","1,589"
15,1,EL OUED,"5,88","4,59",2 492,"0,981","1,896"
15,1,KHENCHELA,"4,14","2,80",1 609,"1,031","1,831"
15,1,SOUK AHRAS,"3,27","2,31",1 996,"0,946","1,786"
15,1,TIPAZA,"3,63","2,06",4 397,"1,038","1,278"
15,1,MILA,"4,02","2,37",3 506,"0,915","1,819"
15,1,AIN DEFLA,"3,90","3,00",3 291,"0,982","1,984"
15,1,NAAMA,"5,23","3,98",116,"9,879","14,510"
15,1,AIN TEMOUCHENT,"2,65","2,62",2 018,"1,059","1,890"
15,1,GHARDAIA,"4,77","1,96",2 200,"1,055","1,456"
15,1,RELIZANE,"4,11","3,03",3 504,"0,990","1,886"
15,1,ALGÉRIE,"3,51","2,27",151467,"1,009","1,95"
18,1,Wilayates,"Estimations indirectes
des espérances de vie
e(0)",,,,"Calcul direct
des taux de mortalité
infantile",,
18,1,,eom93,e0f93,e0m07,e0f07,1987,1998,2007
18,1,ADRAR,"72,38","73,19","72,16","74,94","0,082","0,046","0,027"
18,1,CHLEF,"70,79","75,01","75,64","76,95","0,069","0,033","0,025"
18,1,LAGHOUAT,"69,13","73,13","75,57","76,18","0,057","0,050","0,031"
18,1,OUM EL BOUAGHI,"73,93","78,61","76,27","78,49","0,063","0,030","0,018"
18,1,BATNA,"70,28","74,65","73,81","76,53","0,062","0,037","0,027"
18,1,BEJAIA,"72,49","73,72","72,62","76,37","0,072","0,033","0,021"
18,1,BISKRA,"70,65","75,26","74,26","77,44","0,061","0,036","0,027"
18,1,BECHAR,"69,66","73,09","72,36","76,55","0,061","0,045","0,026"
18,1,BLIDA,"77,34","80,23","71,85","76,28","0,048","0,028","0,018"
18,1,BOUIRA,"65,63","70,51","77,19","78,13","0,062","0,028","0,021"
18,1,TAMANRASSET,"65,65","71,27","63,34","71,96","0,075","0,041","0,026"
18,1,TEBESSA,"70,27","73,25","73,42","75,39","0,068","0,033","0,031"
18,1,TLEMCEN,"67,45","74,44","74,03","76,14","0,061","0,032","0,025"
18,1,TIARET,"67,45","74,44","74,03","76,14","0,070","0,043","0,031"
19,1,TIZI OUZOU,"74,02","75,98","75,69","79,71","0,052","0,022","0,016"
19,1,ALGER,"68,82","75,87","70,37","76,29","0,044","0,025","0,020"
19,1,DJELFA,"74,48","79,70","78,68","80,46","0,068","0,035","0,028"
19,1,JIJEL,"71,82","75,14","76,61","79,73","0,069","0,031","0,019"
19,1,SETIF,"71,71","74,71","75,19","76,33","0,066","0,034","0,025"
19,1,SAIDA,"72,27","75,05","73,73","76,16","0,070","0,050","0,034"
19,1,SKIKDA,"73,85","75,27","76,49","77,36","0,062","0,032","0,024"
19,1,SIDI BEL ABBES,"70,95","73,26","74,03","76,32","0,063","0,033","0,027"
19,1,ANNABA,"63,48","69,88","70,39","73,83","0,061","0,060","0,042"
19,1,GUELMA,"74,47","75,91","76,63","79,33","0,068","0,031","0,022"
19,1,CONSTANTINE,"63,03","68,56","69,49","74,11","0,056","0,055","0,033"
19,1,MEDEA,"73,40","75,84","76,22","77,92","0,059","0,031","0,023"
19,1,MOSTAGANEM,"67,12","72,49","70,41","74,62","0,083","0,048","0,032"
19,1,M SILA,"74,88","78,43","75,43","76,18","0,062","0,033","0,025"
19,1,MASCARA,"69,29","71,67","73,15","75,14","0,082","0,038","0,028"
19,1,OUARGLA,"70,90","74,45","72,63","76,51","0,062","0,039","0,026"
19,1,ORAN,"68,63","75,30","69,83","76,69","0,058","0,035","0,029"
19,1,EL BAYADH,"69,10","69,39","74,98","77,15","0,077","0,040","0,034"
19,1,ILLIZI,"66,62","69,00","75,35","77,79","0,075","0,056","0,027"
19,1,B. B. ARRERIDJ,"72,60","76,13","76,55","78,24","0,067","0,027","0,021"
19,1,BOUMERDES,N.D.,N.D.,"79,45","81,86","0,054","0,019","0,015"
19,1,EL TARF,"77,52","79,60",N.D.,N.D.,"0,062","0,023","0,015"
19,1,TINDOUF,"51,90","69,47","67,27","73,50","0,063","0,056","0,020"
19,1,TISSEMSILT,"71,29","74,78","75,21","75,79","0,068","0,037","0,025"
19,1,EL OUED,"72,25","74,98","75,86","76,49","0,067","0,038","0,024"
19,1,KHENCHELA,"72,39","76,84","73,27","74,62","0,070","0,035","0,035"
19,1,SOUK AHRAS,"72,82","76,41","74,84","77,11","0,065","0,035","0,029"
19,1,TIPAZA,"68,68","70,63","77,31","78,54","0,054","0,026","0,017"
19,1,MILA,"74,44","77,28","78,33","79,89","0,067","0,025","0,016"
19,1,AIN DEFLA,"72,38","73,19","75,57","76,93","0,066","0,041","0,028"
19,1,NAAMA,"69,82","71,89","74,89","75,54","0,060","0,047","0,034"
19,1,AIN TEMOUCHENT,N.D.,N.D.,"73,93","77,34","0,066","0,027","0,018"
19,1,GHARDAIA,"72,03","73,32","73,22","75,75","0,066","0,029","0,023"
19,1,RELIZANE,"69,03","72,20","72,49","74,63","0,080","0,042","0,029"
19,1,ALGÉRIE,"66,74","68,12","74,70","76,80","0,064","0,035","0,025"
26,1,"Ghardaïa Khenchela Mila
Chlef","Msila Tlemcen Alger Ouargla BBA
Guelma Relizane Tissemsilt Tizi
Ouzou Ain Defla Batna Bejaia
Bouira Mascara SBA
Medea Ain Temouchemt",,,,
28,1,"e0
1983-2007",Nombre net de migrants,,,,
28,1,,"W. répulsives
1987-1998",,"W. attractives
1987-1998",,
28,1,,"W. répulsives
1998-2008","W. attractives
1998-2008","W. répulsives
1998-2008","W. attractives
1998-2008",
28,1,Hausse,"B. B. ARRERIDJ
GUELMA
MILA
RELIZANE
TISSEMSILT
TIZI OUZOU
AIN DEFLA
BATNA
BEJAIA
BOUIRA
CHLEF
MASCARA
MEDEA
SIDI BEL ABBES","CONSTANTINE
OUM EL BOUAGHI
SKIKDA
BECHAR
JIJEL
MOSTAGANEM
SAIDA
TIARET
TIPAZA","GHARDAIA
KHENCHELA
M SILA
TLEMCEN
ALGER
OUARGLA","ANNABA
DJELFA
EL BAYADH
EL OUED
NAAMA
SETIF
SOUK AHRAS
TEBESSA
BISKRA
ILLIZI
LAGHOUAT
ORAN
TINDOUF
EL TARF",
28,1,Baisse,AIN TEMOUCHENT,"BLIDA
BOUMERDES",,"TAMANRASSET
ADRAR",
29,1,,,,,,
29,1,,,"Khe
Adra
Ouargla","Blida
M'Si
Souk Ahras Oum
nchela
Bejaia Ain Defla
r Saïda Sétif
Tébessa","la Guelma
El Bouaghi Djelfa
Mila
Skikda
Jijel Médéa
B.B. A
TissemsiltChlef
Naâma",rreri
29,1,,Tamanrasset,"Alger
Oran
Constantine","Batna
Mascara El
Mostaganem
Relizane
Annaba","Sidi Bel A
Bayadh Tipaza
Bouira
Illizi",bbès
29,1,,,Tindouf,,,
29,2,,,,,,,,
29,2,,,,,Blida,,Djelfa,
29,2,,,,,M'Sila O,um El Bouagh,"i
Mila",
29,2,,,,"Khenchela
Alger
Saïda El Ou
Sétif","Souk Ahra
B.B.
Oran
ed","s
Arreridj Tiz
Guelma Ji
Skikda","i ouzou
jel",
29,2,,,"Tissemsi
Ghardai
Tébes
Mostagan","lt Tiaret
a TlemcenO
sa
Adrar
Laghoua
em","Chlef
uargla
Sidi B
t Ain De","Biskra
el Abbès
fla",,
29,2,,Ta,"Reli
manrasset
An","zane
Mascara N
naba","Béchar
aâma
Bouira",Tipaza,,
29,2,,,"Tindouf
Con",stantine,El Bayad,"h
Illizi",,
