page,table_id,col_1,col_2,col_3,col_4,col_5,col_6,col_7
9,1,2 265 023,"(45,2)",2 076 576,"(22,1)",1 309 301,"(11,6)",Sans diplôme d’études secondaires,121 894,"(54,9)",146 971,"(30,6)",142 580,"(14,8)"
9,1,1 736 226,"(34,7)",4 388 674,"(46,8)",5 346 539,"(47,2)","diplôme d’études secondaires ou
post-secondaires non universitaires",67 631,"(30,5)",203 879,"(42,4)",468 044,"(48,6)"
9,1,1 009 005,"(20,1)",2 917 789,"(31,1)",4 662 181,"(41,2)",diplôme d’études universitaires,32 338,"(14,6)",129 662,"(27,0)",352 342,"(36,6)"
9,1,,,,,,,Statut matrimonial,,,,,,
9,1,1 194 902,"(23,8)",2 319 488,"(24,7)",2 918 823,"(25,8)",Marié (conjoint de 75 ans ou plus),61 440,"(27,7)",148 941,"(31,0)",299 487,"(31,1)"
9,1,1 788 474,"(35,7)",3 165 024,"(33,7)",3 522 815,"(31,1)",Marié (conjoint de moins de 75 ans),15 677,"(7,1)",39 909,"(8,3)",57 499,"(6,0)"
9,1,513 943,"(10,3)",1 322 788,"(14,1)",1 434 489,"(12,7)",Séparé,13 397,"(6,0)",65 774,"(13,7)",150 180,"(15,6)"
9,1,226 210,"(4,5)",976 747,"(10,4)",1 873 570,"(16,6)",célibataire,8 978,"(4,0)",27 497,"(5,7)",127 354,"(13,2)"
9,1,1 286 724,"(25,7)",1 598 992,"(17,0)",1 568 323,"(13,9)",Veuf,122 373,"(55,2)",198 391,"(41,3)",328 447,"(34,1)"
9,1,,,,,,,Nombre d’enfants survivants,,,,,,
9,1,763 026,"(15,2)",1 938 788,"(20,7)",3 198 427,"(28,3)",Aucun,40 134,"(18,1)",76 047,"(15,8)",236 949,"(24,6)"
9,1,728 884,"(14,5)",1 996 098,"(21,3)",2 877 291,"(25,4)",un seul,34 815,"(15,7)",88 374,"(18,4)",241 368,"(25,1)"
9,1,3 518 344,"(70,2)",5 448 153,"(58,1)",5 242 302,"(46,3)",Au moins deux,146 915,"(66,2)",316 092,"(65,8)",484 650,"(50,3)"
9,1,5 010 253,,9 383 038,,11 318 020,,TOTAUX,221 864,"(4,2)*",480 513,"(4,9)*",962 967,"(7,8)*"
11,1,,2031,,2051,,,
11,1,Scénarios,Projeté,Vers ménages privés,Projeté,Vers ménages privés,,
11,1,Base,480 513,,962 967,,,
11,1,75 %,415 850,64 663,777 691,185 276,,
11,1,50 %,351 188,129 325,592 415,370 552,,
11,1,25 %,286 526,193 987,407 140,555 827,,
11,1,Constant,221 864,258 649,221 864,741 103,,
11,2,,Âge,,,,,
11,2,,65-84 ans,,85-89 ans,,90 ans et plus,
11,2,,Présence d’un diplôme d’études universitaires,,,,,
11,2,Nombre de proches survivants,Avec,Sans,Avec,Sans,Avec,Sans
11,2,"trois, conjoint âgé de moins de 75 ans",7 149,16 042,619,1 126,56,225
11,2,"trois, conjoint âgé de 75 ans ou plus",14 973,36 475,8 303,22 094,5 066,15 226
11,2,deux,21 277,52 096,14 663,46 467,15 845,75 343
11,2,un seul,10 413,20 714,5 995,14 100,5 460,19 279
11,2,Aucun,8 331,11 117,5 657,7 796,5 854,12 749
12,1,,Âge,,,,,
12,1,,65-84 ans,,85-89 ans,,90 ans et plus,
12,1,,Présence d’un diplôme d’études universitaires,,,,,
12,1,Nombre de proches survivants,Avec,Sans,Avec,Sans,Avec,Sans
12,1,"trois, conjoint âgé de moins de 75 ans",,,,,,
12,1,"trois, conjoint âgé de plus de 75 ans",,,,,,
12,1,deux,,,,,,
12,1,un seul,,,,,,
12,1,Aucun,,,,,,
12,2,Scénario 75 %,Scénario 50 %,Scénario 25 %,croissance nulle,,,
12,2,62 143,114 660,198 587,257 044,,,
13,1,,Âge,,,,,
13,1,,65-84 ans,,85-89 ans,,90 ans et plus,
13,1,,Présence d’un diplôme d’études universitaires,,,,,
13,1,Nombre de proches survivants,Avec,Sans,Avec,Sans,Avec,Sans
13,1,"trois, conjoint âgé de moins de 75 ans",11 005,15 057,1 323,2 280,56,225
13,1,"trois, conjoint âgé de 75 ans ou plus",23 304,31 606,16 859,34 168,18 463,37 939
13,1,deux,35 406,51 476,31 494,65 127,61 074,144 522
13,1,un seul,27 666,32 423,21 587,35 040,30 002,65 886
13,1,Aucun,20 968,21 784,19 279,25 583,33 858,47 508
13,2,,Âge,,,,,
13,2,,65-84 ans,,85-89 ans,,90 ans et plus,
13,2,,Présence d’un diplôme d’études universitaires,,,,,
13,2,Nombre de proches survivants,Avec,Sans,Avec,Sans,Avec,Sans
13,2,"trois, conjoint âgé de moins de 75 ans",,,,,,
13,2,"trois, conjoint âgé de plus de 75 ans",,,,,,
13,2,deux,,,,,,
13,2,un seul,,,,,,
13,2,Aucun,,,,,,
13,3,Scénario 75 %,Scénario 50 %,Scénario 25 %,croissance nulle,,,
13,3,165 012,363 517,541 954,705 052,,,
14,1,,,,,,,
14,1,,,,,,,
14,1,,,,,,,
14,1,,,,,,,
14,1,,,,,,,
14,1,,,,,,,
14,1,,,,,,,
14,1,,,,,,,
14,1,,,,,,,
14,1,,,,,,,
14,1,,,,,,,
14,1,,,,,,,
14,1,,,,,,,
14,1,,,,,,,
14,1,,,,,,,
14,1,,,,,,,
14,1,,,,,,,
14,1,,,,,,,
14,2,"Institution de
Incapacité gr
Incapacité m
Incapacité lé
Sans incapaci","santé
ave
odérée
gère
té",,,,,
15,1,,Scénario constant,,,,,
15,1,,"Scénario 25 %
Scénario 50 %",,,,,
15,1,"Scénario 75 %
Population initiale en ménage privé","Scénario 75 %
Population initiale en ménage privé",,,,,
15,1,,,,,,,
15,1,,,,,,,
15,1,,,,,,,
15,1,,,,,,,
15,1,,,,,,,
15,1,,,,,,,
15,1,,,,,,,
15,1,,,,,,,
15,1,,,,,,,
15,1,,,,,,,
15,1,,,,,,,
