page,table_id,col_1,col_2,col_3,col_4
17,1,,"tnemelues ertua
eugnal
snad enu
)6","1,8","9,7","3,8","0,8","4,4"
17,1,,"tnemelues
longapse
ne
)5","8,45","0,45","9,45","4,35","9,63"
17,1,,"longapse
nalatac
tôtulp ne’uq
ne
)4","7,1","4,1","5,0","7,0","4,5"
17,1,,"seugnal
snad xued
sel
)3","5,1","9,1","3,1","7,1","5,8"
17,1,,"longapse
nalatac
tôtulp ne’uq
ne
)2","3,1","2,1","8,0","9,0","9,2"
17,1,,"tnemelues nalatac
ne
)1","%
3,13","1,13","1,82","2,82","8,83"
17,1,"noissimsnart
epyT
ed",,"erèm
al
rap
)a","erèp
el
rap
)b","slenretap
-sdnarg
sel stnerap
rap
)c","slenretam
-sdnarg
sel stnerap
rap
)d","énîa
tnafne’l
à
)e"
18,1,,Catalan,Espagnol,Autres,Total
18,1,Télévision,"50,0 %","49,3 %","0,7 %",100 %
18,1,Radio,"50,0 %","49,3 %","0,7 %",100 %
18,1,Presse,"35,9 %","63,3 %","0,7 %",100 %
19,1,Continue à parler en catalan,"12,2 %",,
19,1,Passe à l’espagnol,"76,7 %",,
19,1,Demande si on peut lui répondre en catalan,"1,7 %",,
19,1,Ne s’adresse jamais à qui que ce soit en catalan,"6,3 %",,
19,1,Interrompt la discussion,"0,1 %",,
19,1,Aucune réponse,"3,0 %",,
19,1,Total,100 %,,
20,1,Continue à parler en espagnol,"10,1 %",,
20,1,Passe au catalan,"79,5 %",,
20,1,Demande si on peut lui répondre en espagnol,"1,1 %",,
20,1,Ne s’adresse jamais à qui que ce soit en espagnol,"6,8 %",,
20,1,Interrompt la discussion,"0,2 %",,
20,1,Aucune réponse,"2,3 %",,
20,1,Total,100 %,,
20,2,"Accord avec l’affirmation suivante : « Le langage parlé aux Baléares, au Pays valencien,
en Andorre et en Catalogne représente des manières différentes de parler une même
langue ».",,,
20,2,Absolument d’accord,"50,9 %",,
20,2,Plutôt d’accord,"24,1 %",,
20,2,Plutôt en désaccord,"23,9 %",,
20,2,Absolument en désaccord,"22,0 %",,
20,2,Indifférent,"29,3 %",,
20,2,Sans réponse,"29,8 %",,
22,1,"Avis sur l’usage du catalan dans la société : est-il beaucoup, assez peu, moyennement,
peu ou pas du tout parlé ?",,,
22,1,Beaucoup,"18,3 %",,
22,1,Assez,"37,0 %",,
22,1,Moyennement,"23,8 %",,
22,1,Peu,"17,3 %",,
22,1,Pas du tout,"0,4 %",,
22,1,Aucune réponse,"3,2 %",,
22,1,Total,100 %,,
22,2,Avis sur l’évolution de l’usage du catalan :,,,
22,2,,par rapport à il y a 5 ans,dans 5 ans,
22,2,Davantage parlé,"31,0 %","31,7 %",
22,2,Situation inchangée,"39,8 %","36,1 %",
22,2,Moins parlé,"20,8 %","20,8 %",
22,2,Aucune réponse,"8,5 %","11,4 %",
22,2,Total,100 %,100 %,
23,1,,"Compréhension
orale","Expression
orale","Compréhension
écrite","Expression
écrite"
23,1,Catalan,"94,6 %","78,3 %","81,7 %","61,8 %"
23,1,Espagnol,"99,9 %","99,7 %","97,4 %","95,6 %"
