page,table_id,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17
9,1,"% des travailleurs affectés au secteur
tertiaire (2016)","62,0","58,5","60,3","63,9","83,9","62,7","80,4",,,,,,,,,
9,1,Variables liées au revenu,,,,,,,,,,,,,,,,
9,1,revenu moyen des familles en $ (2016),57 825,61 387,65 885,66 449,72 960,63 301,79 378,,,,,,,,,
9,1,"% du revenu provenant d’un emploi
(2016)","48,7","58,3","61,8","60,9","64,6","57,9","68,4",,,,,,,,,
9,1,"% du revenu provenant de transferts
gouvernementaux (2016)","36,6","28,1","23,2","22,5","20,2","26,5","15,6",,,,,,,,,
9,1,Variable géographique,,,,,,,,,,,,,,,,
9,1,"distance par rapport à la ville la plus
près (km)","43,9","28,7","26,5","32,7","24,7","29,0",–,,,,,,,,,
11,1,"Taux de croissance de la proportion de
personnes âgées de 0-24 ans entre 1986
et 2016",> 0 %,"- 0,1 à
-9,9 %","- 10 à
-19,9 %","- 20 à
-29,9 %",- 30 <,"Ensemble
des petites
localités","Ensemble
des localités
du Québec",,,,,,,,,
11,1,nombre de localités,4,14,101,72,10,201a,,,,,,,,,,
11,1,Variation des effectifs de population,,,,,,,,,,,,,,,,
11,1,Effectif moyen des localités (2016),122,351,338,301,186,314,7 937,,,,,,,,,
11,1,"Croissance de l’effectif de la population, 1986-
2016",382,681,- 5 199,- 7 306,- 1 096,-12 692,1 631 900,,,,,,,,,
11,1,"Croissance, en %, de la population, 1986-2016","360,4","16,1","- 13,2","- 25,2","- 37,1","-16,4","25,0",,,,,,,,,
11,1,"nombre de localités en décroissance
démographique continue depuis 1986",0,2,12,14,0,28,98,,,,,,,,,
11,1,"Croissance de l’effectif des 0-24 ans, 1986-
2016",80,- 25,- 7 365,- 8 160,- 1 130,- 16 690,403 110,,,,,,,,,
11,1,"Croissance, en %, de l’effectif des 0-24 ans,
1986-2016","1 600,0","- 1,5","- 46,3","- 66,1","- 77,7","- 52,9","21,7",,,,,,,,,
11,1,"Croissance de l’effectif des 65 ans et plus,
1986-2016",140,280,2 930,2 900,265,- 6 310,1 013 620,,,,,,,,,
11,1,Variables socio- économiques,,,,,,,,,,,,,,,,
11,1,Taux de migration pendulaire (2016),"92,7","74,9","86,2","79,9","71,6","80,9","47,8",,,,,,,,,
11,1,Taux d’activité (2016),"50,3","63,8","58,6","53,1","55,1","55,2","64,1",,,,,,,,,
11,1,Taux de chômage (2016),0,"9,6","8,8","14,6","11,0","10,9","7,2",,,,,,,,,
11,1,"% des travailleurs affectés au secteur primaire
(2016)","7,2","11,6","17,5","17,3","10,9","14,5","2,5",,,,,,,,,
11,1,"% des travailleurs affectés au secteur
secondaire (2016)","12,0","15,5","21,2","24,2","29,2","22,8","17,1",,,,,,,,,
11,1,"% des travailleurs affectés au secteur tertiaire
(2016)","61,5","72,8","61,3","58,6","59,9","62,7","80,4",,,,,,,,,
11,1,Variables liées au revenu,,,,,,,,,,,,,,,,
11,1,revenu moyen des familles en $ (2016),n.d,70 388,64 002,62 224,67 606,63 301,79 378,,,,,,,,,
11,1,% du revenu provenant d’un emploi (2016),n.d,"65,5","60,4","56,9","23,5","57,9","68,4",,,,,,,,,
11,1,"% du revenu provenant de transferts
gouvernementaux (2016)",n.d,"21,2","24,8","28,7","9,4","26,5","15,6",,,,,,,,,
11,1,Variable géographique,,,,,,,,,,,,,,,,
11,1,distance par rapport à la ville la plus près (km),"51,9","30,0","26,4","34,6","42,8","29,0",,,,,,,,,,
13,1,Situation démographique,Dynamique évolutive,Indice partiel,,,,,,,,,,,,,,
13,1,"Forte croissance de la proportion de
personnes âgées de 65 ans et plus","Localité dont la proportion de personnes âgées de
65 ans et plus s’est accrue de 25 points de pourcentage
ou plus entre 1986 et 2016",1,,,,,,,,,,,,,,
13,1,gérontocroissance,Localité dont le nombre d’aînés a plus que quadruplé,1,,,,,,,,,,,,,,
13,1,"Forte décroissance de la proportion
des 0-24 ans","Localité dont la proportion de jeunes a diminué de
25 points de pourcentage ou plus entre 1986 et 2016","1,5",,,,,,,,,,,,,,
13,1,décroissance démographique,"Localité dont la population a diminué de 45 % ou plus
de 1986 à 2016",4,,,,,,,,,,,,,,
13,1,,"Localité dont la population a diminué entre 30 et
44,9 % de 1986 à 2016","3,2",,,,,,,,,,,,,,
13,1,,"Localité dont la population a diminué entre 15 et
29,9 % de 1986 à 2016","2,5",,,,,,,,,,,,,,
13,1,,"Localité dont la population a diminué entre 0,1 et
14,9 % de 1986 à 2016","1,6",,,,,,,,,,,,,,
15,1,"Niveau de précarité
démographique","Extrêmement
préoccupant
(n = 13)","Très précaire
(n = 8)","Précaire
(n = 20)","Plus ou moins
précaire
(n = 40)","Ensemble
des petites
localités","Ensemble des
localités du
Québec",,,,,,,,,,
15,1,Variation des effectifs de la population,,,,,,,,,,,,,,,,
15,1,Effectif moyen des localités (2016),202,226,278,306,314,7937,,,,,,,,,,
15,1,"Croissance de l’effectif de la popula-
tion, 1986-2016",- 2 623,- 1 711,- 2 785,- 323,-12 692,1 631 900,,,,,,,,,,
15,1,"Croissance, en %, de la population,
1986-2016","- 50,0","- 48,6","- 33,3","- 2,6","-16,4","25,0",,,,,,,,,,
15,1,"nombre de localités en décroissance
démographique continue depuis 1986",8,4,8,7,28,98,,,,,,,,,,
15,1,"Croissance de l’effectif des 0-24 ans,
1986-2016",- 1 775,- 1 115,- 2 445,-2 735,-16 690,403 110,,,,,,,,,,
15,1,"Croissance, en %, de l’effectif des
0-24 ans, 1986-2016","- 82,9","- 75,6","- 67,8","- 51,2","-52,9","21,7",,,,,,,,,,
15,1,"Croissance de l’effectif des 65 ans et
plus, 1986-2016",330,125,630,1 890,6 310,1 013 620,,,,,,,,,,
15,1,"Croissance, en %, de l’effectif des
65 ans et plus, 1986-2016","64,1","32,9","83,4","176,6","187,1","210,5",,,,,,,,,,
15,1,Variables socio- économiques,,,,,,,,,,,,,,,,
15,1,Taux de migration pendulaire (2016),"67,0","78,8","83,8","79,4","80,9","47,8",,,,,,,,,,
