page,table_id,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10
13,2,,"Groupes d’âge
(ans)",,Sexe,,"Milieu
de résidence",,Ensemble,,
13,2,,12-14,15-19,Garçons,Filles,Urbain,Rural,,,
13,2,Type de ménage de résidence,,,,,,,,,
13,2,Père et mère biologiques,"66,5","56,5","64,3","57,7","46,4","65,7","61,1",,
13,2,"(Père ou mère, CM)","(65,0)","(55,4)","(63,0)","(56,5)","(45,3)","(64,4)","(59,8)",,
13,2,"(Père et mère, non CM)","(1,5)","(1,1)","(1,3)","(1,2)","(1,1)","(1,3)","(1,3)",,
13,2,Mère seule,"5,0","6,6","6,0","5,7","6,6","5,6","5,8",,
13,2,"(Mère, CM)","(2,5)","(3,8)","(3,1)","(3,2)","(4,9)","(2,6)","(3,1)",,
13,2,"(Mère, non CM)","(2,5)","(2,8)","(2,9)","(2,5)","(1,7)","(3,0)","(2,7)",,
13,2,Père seul,"5,6","6,6","7,5","4,8","6,3","6,1","6,2",,
13,2,"(Père, CM)","(5,4)","(6,3)","(7,1)","(4,5)","(5,6)","(5,9)","(5,9)",,
13,2,"(Père, non CM)","(0,2)","(0,3)","(0,4)","(0,3)","(0,7)","(0,2)","(0,3)",,
13,2,Frère ou sœur,"3,8","5,8","5,4","4,3","5,7","4,7","4,9",,
13,2,Grands-parents,"5,0","2,9","3,8","4,0","3,5","4,0","3,9",,
13,2,Apparenté,"10,3","15,5","9,4","17,0","20,9","10,7","13,1",,
13,2,Non-apparenté,"3,9","6,0","3,7","6,5","10,7","3,3","5,0",,
13,2,,"p < 0,001",,"p < 0,001",,"p < 0,01",,,,
14,1,Type d’union du chef de ménage,,,,,,,,,
14,1,Sans union,"7,0","9,1","7,6","8,7","14,4","6,2","8,1",,
14,1,Monogame,"46,1","47,1","46,5","46,8","59,8","42,5","46,6",,
14,1,Polygame,"47,0","43,8","46,0","44,5","25,8","51,3","45,3",,
14,1,,"p < 0,05",,Non sign.,,"p < 0,01",,,,
14,1,Survie des parents,,,,,,,,,
14,1,Deux parents en vie,"87,2","80,4","83,7","83,3","80,2","84,5","83,5",,
14,1,Père décédé et mère en vie,"7,9","13,3","10,8","10,9","12,7","10,2","10,8",,
14,1,Mère décédée et père en vie,"3,8","4,1","3,7","4,2","4,2","3,9","4,0",,
14,1,Deux parents décédés,"1,2","2,2","1,8","1,6","2,8","1,4","1,7",,
14,1,Ne sait pas,"0,0","0,0","0,0","0,0","0,0","0,0","0,0",,
14,1,,"P < 0,001",,Non sign.,,"p < 0,10",,,,
14,1,Nombre de personnes de moins de 20 ans par adulte dans le ménage,,,,,,,,,
14,1,0 à 1,"19,1","22,3","20,5","21,3","28,4","18,5","20,9",,
14,1,Plus de 1 à 2,"45,0","45,8","45,0","45,9","55,1","42,4","45,4",,
14,1,Plus de 2,"35,9","31,8","34,5","32,8","16,5","39,1","33,7",,
14,1,,"p < 0,05",,Non sign.,,"p < 0,01",,,,
14,1,Cohabitation avec des grands-parents,,,,,,,,,
14,1,Non,"69,0","65,8","67,1","67,5","67,4","67,3","67,3",,
14,1,Oui,"31,0","34,2","32,9","32,5","32,6","32,7","32,7",,
14,1,,"p < 0,05",,Non sign.,,Non sign.,,,,
19,1,Variables,"Modèles des enfants 0-14
ans (EDS 2003)",,"Modèles des adolescents
12-19 ans (ENA 2004)",,,,,,
19,1,,(Référence : Cohabitation avec deux parents),,,,,,,,
19,1,,Un parent,Aucun parent,Un parent,Aucun parent,,,,,
19,1,Caractéristiques du chef de ménage,,,,,,,,,
19,1,Âge,,,,,,,,,
19,1,Moins de 40 ans (réf.),"1,00","1,00","1,00","1,00",,,,,
19,1,40 à 49 ans,"0,72***","0,50***","0,38***","0,12***",,,,,
19,1,50 ans et plus,"0,75***","1,28***","0,29***","0,12***",,,,,
19,1,Niveau d’instruction,,,,,,,,,
19,1,Sans instruction (réf.),"1,00","1,00","1,00","1,00",,,,,
19,1,Primaire,"0,96","1,11","0,79","0,65**",,,,,
19,1,Secondaire ou plus,"0,94","2,29***","1,47","2,53***",,,,,
19,1,Caractéristiques du ménage,,,,,,,,,
19,1,Indice de richesse du ménage,,,,,,,,,
19,1,Très bas (réf.),"1,00","1,00","1,00","1,00",,,,,
19,1,Bas,"0,80***","0,89","0,76","0,81",,,,,
19,1,Moyen,"0,73***","0,82*","0,81","1,19",,,,,
19,1,Élevé,"0,80**","0,92","0,76","0,91",,,,,
19,1,Très élevé,"0,74***","1,01","0,69*","1,15",,,,,
19,1,Milieu de résidence,,,,,,,,,
19,1,Rural (réf.),"1,00","1,00","1,00","1,00",,,,,
19,1,Urbain,"1,78***","1,95***","2,04***","2,22***",,,,,
19,1,Région géographique,,,,,,,,,
19,1,Ouagadougou (réf.),"1,00","1,00","1,00","1,00",,,,,
19,1,Nord,"0,89","1,27","1,50","1,57*",,,,,
19,1,Est,"0,90","0,71*","1,41","0,92",,,,,
19,1,Ouest,"0,96","0,95","1,47","0,98",,,,,
19,1,Centre/Sud,"1,00","0,92","1,59","1,02",,,,,
19,1,Caractéristiques de l’enfant/adolescent,,,,,,,,,
19,1,Sexe,,,,,,,,,
19,1,Garçon (réf.),"1,00","1,00","1,00","1,00",,,,,
19,1,Fille,"0,93","1,23***","0,87","1,54***",,,,,
19,1,Âge,,,,,,,,,
19,1,"0-5 ans (réf., pour 0-14 ans)","1,00","1,00",Na,Na,,,,,
19,1,6-11 ans,"1,46***","4,37***",Na,Na,,,,,
19,1,"12-14 ans (réf., pour 12-19 ans)","2,06***","6,65***","1,00","1,00",,,,,
19,1,15-19 ans,Na,Na,"0,65***","0,61***",,,,,
19,1,Nombre des observations,28 083,,5 421,,,,,,
25,1,Variables,"Modèles des enfants 6-14 ans
(EDS 2003)",,,,"Modèles des adolescents 12-19 ans
(ENA 2004)",,,,
25,1,,(Référence : Cohabitation avec deux parents),,,,,,,,
25,1,,Urbain,,Rural,,Urbain,,Rural,,
25,1,,"Un
parent","Aucun
parent","Un
parent","Aucun
parent","Un
parent","Aucun
parent","Un
parent","Aucun
parent",
25,1,Filles,,,,,,,,,
25,1,Sans scolarisation,"1,00","1,00","1,00","1,00","1,00","1,00","1,00","1,00",
25,1,Primaire ou plus,"1,04","0,28***","0,89","0,62***","0,76","0,11***","1,32","0,68*",
25,1,Observations,1 542,,6 554,,651,,1 888,,
25,1,Garçons,,,,,,,,,
25,1,Sans scolarisation,"1,00","1,00","1,00","1,00","1,00","1,00","1,00","1,00",
25,1,Primaire ou plus,"0,84","0,58*","0,92","0,87","0,32*","0,44*","1,37*","1,12",
25,1,Observations,1 454,,7 091,,587,,2 295,,
