page,table_id,col_1,col_2,col_3,col_4,col_5,col_6,col_7
17,1,,"Ouest du Mississippi
(Ouest)",,"Entre Appalaches
et Mississippi (Centre)",,"Est des Appalaches
(Est)",
17,1,1850,,,,,,
17,1,Gen 1,690,"1,8",2221,"2,9",8260,"6,1"
17,1,Gen 2+,38 195,"98,2",75 399,"97,1",127 692,"93,9"
17,1,Total,38 885,"100,0",77 620,"100,0",135 592,"100,0"
17,1,1880,,,,,,
17,1,Gen 1,8788,"5,1",17 928,"8,6",64 530,"19,8"
17,1,Gen 2,10 873,"6,3",19 609,"9,5",43 448,"13,4"
17,1,Gen 3+,151 682,"88,5",169 738,"81,9",217 419,"66,8"
17,1,Total,171 343,"100,0",207 275,"100,0",325 397,"100,0"
17,1,1910,,,,,,
17,1,Gen 1,18 352,"4,2",25 601,"6,8",189 425,"22,5"
17,1,Gen 2,38 620,"8,8",54 837,"14,6",231 349,"27,5"
17,1,Gen 3+,383 080,"87,0",294 752,"78,6",420 750,"50,0"
17,1,Total,440 052,"100,0",375 190,"100,0",841 524,"100,0"
18,1,,"Ouest du Mississippi
(Ouest)",,"Entre Appalaches
et Mississippi (Centre)",,"Est des Appalaches
(Est)",
18,1,1890,,,,,,
18,1,Gen 1,25 945,"49,2",46 913,"50,2",229 638,"59,0"
18,1,Gen 2*,26 842,"50,8",46 544,"49,8",159 619,"41,0"
18,1,Total,52 787,100,93 457,100,389 257,100
18,1,1910,,,,,,
18,1,Gen 1,32 207,"31,4",46 945,"31,1",305 931,"44,1"
18,1,Gen 2*,70 459,"68,6",103 909,"68,9",388 341,"55,9"
18,1,Total,102 666,100,150 854,100,694 272,100
22,1,,1850,1880,1910,,,
22,1,Immigrants (Gen1),,,,,,
22,1,Rural,"84,5 %","82,1 %","54,2 %",,,
22,1,Urbain,"15,5 %","17,9 %","45,8 %",,,
22,1,Autres générations,,,,,,
22,1,Rural,"88,8 %","83,3 %","68,7 %",,,
22,1,Urbain,"11,2 %","16,7 %","31,3 %",,,
27,1,1880,,,,,,
27,1,Homme né,2G,3G+,,,,
27,1,Est,"12,1 %","11,0 %",,,,
27,1,Centre,"18,5 %","14,5%",,,,
27,1,Ouest,"69,4 %","74,5 %",,,,
27,1,1910,,,,,,
27,1,Homme né,2G,3G+,,,,
27,1,Est,"8,7 %","5,6 %",,,,
27,1,Centre,"17,5 %","11,4 %",,,,
27,1,Ouest,"72,4 %","82,2 %",,,,
27,1,1880,,,,,,
27,1,Femme née,2G,3G+,,,,
27,1,Est,"9,1 %","8,9 %",,,,
27,1,Centre,"17,5 %","13,5 %",,,,
27,1,Ouest,"73,3 %","77,6 %",,,,
27,1,1910,,,,,,
27,1,Femme née,2G,3G+,,,,
27,1,Est,"5,2 %","4,3 %",,,,
27,1,Centre,"14,4 %","10,3 %",,,,
27,1,Ouest,"79,2 %","84,8 %",,,,
28,1,1850,,,,,,
28,1,Au moins un enfant né…,Immigrants,Génération 2+,,,,
28,1,Est,5 %,5 %,,,,
28,1,Centre,5 %,15 %,,,,
28,1,Canada,22 %,0 %,,,,
28,1,1880,,,,,,
28,1,Au moins un enfant né…,Immigrants,Génération 2,,,,
28,1,Est,10 %,6 %,,,,
28,1,Centre,19 %,19 %,,,,
28,1,Canada,24 %,2 %,,,,
28,1,1910,,,,,,
28,1,Au moins un enfant né…,Immigrants,Génération 2,,,,
28,1,Est,4 %,2 %,,,,
28,1,Centre,12 %,11 %,,,,
28,1,Canada,13 %,1 %,,,,
